station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
123250,Hede,2,62.4172,13.5168,1/1/1961 0:00,6/30/1991 23:59,420
123340,Hedeviken,2,62.4112,13.6748,10/1/2008 0:00,9/30/2016 23:59,410
123460,Börtnan A,2,62.7557,13.8456,12/15/1995 0:00,10/1/2016 9:00,467
123480,Storsjö Kapell,2,62.8016,13.0731,1/1/1955 0:00,1/31/1996 23:59,580
124020,Sveg,2,62.0291,14.3508,1/1/1951 0:00,12/31/1997 23:59,360
124030,Sveg A,2,62.0471,14.41,10/1/2009 0:00,10/1/2016 10:00,362
124110,Ytterhogdal,2,62.1809,14.9524,6/1/1975 0:00,8/31/1992 23:59,260
124300,Klövsjöhöjden A,2,62.4961,14.1571,1/1/1996 0:00,10/1/2016 10:00,802
124320,Klövsjö,2,62.5335,14.2028,10/1/1977 0:00,12/31/1995 23:59,549
124390,Skålan,2,62.65,14.1666,12/1/1962 0:00,12/31/1976 23:59,452
125020,Finneby,2,62.0424,15.4655,12/1/1976 0:00,1/31/1996 23:59,259
